name_model,classifier,run,task,accuracy,sensitivity,specificity,precision,recall,f1,kappa
LogisticRegression_20_7,LogisticRegression,20,7,0.6590909090909091,0.6956521739130435,0.6190476190476191,0.6666666666666666,0.6956521739130435,0.6808510638297872,0.31535269709543573
KNeighborsClassifier_1_7,KNeighborsClassifier,1,7,0.6136363636363636,0.43478260869565216,0.8095238095238095,0.7142857142857143,0.43478260869565216,0.5405405405405405,0.2398373983739837
KNeighborsClassifier_2_7,KNeighborsClassifier,2,7,0.6363636363636364,0.43478260869565216,0.8571428571428571,0.7692307692307693,0.43478260869565216,0.5555555555555555,0.28600405679513174
KNeighborsClassifier_3_7,KNeighborsClassifier,3,7,0.6818181818181818,0.4782608695652174,0.9047619047619048,0.8461538461538461,0.4782608695652174,0.6111111111111112,0.3752535496957402
KNeighborsClassifier_4_7,KNeighborsClassifier,4,7,0.6363636363636364,0.5652173913043478,0.7142857142857143,0.6842105263157895,0.5652173913043478,0.6190476190476191,0.27720739219712526
KNeighborsClassifier_5_7,KNeighborsClassifier,5,7,0.5909090909090909,0.4782608695652174,0.7142857142857143,0.6470588235294118,0.4782608695652174,0.55,0.19018404907975459
KNeighborsClassifier_6_7,KNeighborsClassifier,6,7,0.5909090909090909,0.5217391304347826,0.6666666666666666,0.631578947368421,0.5217391304347826,0.5714285714285715,0.186858316221766
KNeighborsClassifier_7_7,KNeighborsClassifier,7,7,0.6818181818181818,0.4782608695652174,0.9047619047619048,0.8461538461538461,0.4782608695652174,0.6111111111111112,0.3752535496957402
KNeighborsClassifier_8_7,KNeighborsClassifier,8,7,0.5,0.4782608695652174,0.5238095238095238,0.5238095238095238,0.4782608695652174,0.5,0.0020618556701031414
KNeighborsClassifier_9_7,KNeighborsClassifier,9,7,0.6363636363636364,0.5217391304347826,0.7619047619047619,0.7058823529411765,0.5217391304347826,0.6,0.280163599182004
KNeighborsClassifier_10_7,KNeighborsClassifier,10,7,0.6818181818181818,0.5217391304347826,0.8571428571428571,0.8,0.5217391304347826,0.6315789473684211,0.37270875763747446
KNeighborsClassifier_11_7,KNeighborsClassifier,11,7,0.5681818181818182,0.2608695652173913,0.9047619047619048,0.75,0.2608695652173913,0.3870967741935483,0.1606425702811245
KNeighborsClassifier_12_7,KNeighborsClassifier,12,7,0.7272727272727273,0.6956521739130435,0.7619047619047619,0.7619047619047619,0.6956521739130435,0.7272727272727272,0.4556701030927836
KNeighborsClassifier_13_7,KNeighborsClassifier,13,7,0.5454545454545454,0.6086956521739131,0.47619047619047616,0.56,0.6086956521739131,0.5833333333333334,0.08523908523908512
KNeighborsClassifier_14_7,KNeighborsClassifier,14,7,0.5681818181818182,0.5652173913043478,0.5714285714285714,0.5909090909090909,0.5652173913043478,0.5777777777777778,0.13636363636363646
